,,,,,Min,,,,Max,, , , ,
Package,Original Set Size,Original Mutation Score,Runs,Alpha, |T|,t(ms),loss,mutation score ,|T|,t(ms),loss, mutation score,Avg Reduced Size, Avg Time, Avg Loss, Avg Mutation Score, S.D
async-new,511,81.57,10,0,98,664,0.08,81.49,98,734,0.08,81.49,98,683.3,0.07999999999999999,81.49,0 
cheerio-new,650,87.99,10,0,183,851,0,87.99,183,981,0,87.99,183,880.4,0,87.99,0 
passport-new,494,86.8,10,0,76,148,1.6,85.2,76,167,1.6,85.2,76,155,1.5999999999999999,85.20000000000002,0 
shortid-new,17,50.82,10,0,7,15,0,50.82,7,24,0,50.82,7,17.1,0,50.82,0 
socket.io-new,126,78.33,10,0,21,70,0,78.33,21,88,0,78.33,21,74.5,0,78.33000000000001,0 
winston-new,170,6.73,10,0,7,147,0,6.73,7,156,0,6.73,7,151.5,0,6.730000000000002,0 
body-parser-new,218,74.97,10,0,60,139,0,74.97,60,172,0,74.97,60,147,0,74.97000000000001,0 
body-parser-old,204,77.95,10,0,54,131,0,77.95,54,150,0,77.95,54,138.3,0,77.95000000000002,0 
debug-new,4,3.68,10,0,1,173,0,3.68,1,192,0,3.68,1,182.2,0,3.6800000000000006,0 
debug-old,3,5.16,10,0,1,69,0,5.16,1,93,0,5.16,1,74.2,0,5.159999999999999,0 
express-new,858,73.24,10,0,189,1264,0,73.24,189,1456,0,73.24,189,1346,0,73.24,0 
express-old,833,76.22,5,5,180,1316,0.72,75.5,180,1438,0.72,75.5,180,1347,0.72,75.5,0 
express-old,833,76.22,5,5,180,1316,0.72,75.5,180,1428,0.72,75.5,180,1343,0.72,75.5,0 
