DateTime,Name,TotalMutants,ExecutionTime(ms),ExecutionTime,MutationScoreOriginal,MutationScoreReduced,ReducedSet,OriginalSetSize,ReducedSetSize
4 Aug;14h:48min:13sec,body-parser-new,735,140ms,0m 0s 140ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:48min:14sec,body-parser-new,735,146ms,0m 0s 146ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:48min:14sec,body-parser-new,735,125ms,0m 0s 125ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:48min:14sec,body-parser-new,735,233ms,0m 0s 233ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:48min:15sec,body-parser-new,735,125ms,0m 0s 125ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:48min:15sec,body-parser-new,735,145ms,0m 0s 145ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:48min:15sec,body-parser-new,735,138ms,0m 0s 138ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:48min:15sec,body-parser-new,735,143ms,0m 0s 143ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:48min:15sec,body-parser-new,735,133ms,0m 0s 133ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:48min:16sec,body-parser-new,735,136ms,0m 0s 136ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:49min:0sec,body-parser-new,735,123ms,0m 0s 123ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:49min:1sec,body-parser-new,735,128ms,0m 0s 128ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:49min:1sec,body-parser-new,735,125ms,0m 0s 125ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:49min:1sec,body-parser-new,735,127ms,0m 0s 127ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:49min:1sec,body-parser-new,735,126ms,0m 0s 126ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:49min:2sec,body-parser-new,735,127ms,0m 0s 127ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:49min:2sec,body-parser-new,735,128ms,0m 0s 128ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:49min:2sec,body-parser-new,735,126ms,0m 0s 126ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:49min:2sec,body-parser-new,735,132ms,0m 0s 132ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:49min:2sec,body-parser-new,735,131ms,0m 0s 131ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:50min:40sec,body-parser-new,735,132ms,0m 0s 132ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:50min:40sec,body-parser-new,735,133ms,0m 0s 133ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:50min:41sec,body-parser-new,735,127ms,0m 0s 127ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:50min:41sec,body-parser-new,735,134ms,0m 0s 134ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:50min:41sec,body-parser-new,735,133ms,0m 0s 133ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:50min:42sec,body-parser-new,735,133ms,0m 0s 133ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:50min:42sec,body-parser-new,735,137ms,0m 0s 137ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:50min:42sec,body-parser-new,735,129ms,0m 0s 129ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
4 Aug;14h:50min:42sec,body-parser-new,735,135ms,0m 0s 135ms,74.97,72.65,145 150 92 75 50 91 47 42 61 57 60 70 67 62 66 2 84 104 111 108 99 107 98 110 112 134 141 138 130 137 126 140 142 188 180 163 173 211 175 197 193 170 185 186 201 200 191 172 194 183 198 76 45 203 49 78 51,218,57
