,,,,,Min,,,,Max,, , , ,
Package,Original Set Size,Original Mutation Score,Runs,Alpha, |T|,t(ms),loss,mutation score ,|T|,t(ms),loss, mutation score,Avg Reduced Size, Avg Time, Avg Loss, Avg Mutation Score, S.D
shortid-new,17,47.463,10,5,6,15,3.28,44.179,6,26,3.28,44.179,6,18.9,NaN,44.178999999999995,0 
shortid-new,17,47.463,10,5,6,14,3.283999999999999,44.179,6,43,3.283999999999999,44.179,6,24.2,3.283999999999999,44.178999999999995,0 
cheerio-new,650,83.537,10,5,145,4397,4.334000000000003,79.028,145,13765,4.509,79.203,145,9299.9,4.439000000000003,79.098,0 
body-parser-old,204,81.702,10,5,56,606,1.9819999999999993,71.911,139,1312,9.790999999999997,79.72,96.1,1019,3.9632999999999967,77.73870000000001,30.346169445252887 
express-new,858,63.122,5,10,126,3900,9.671,53.234,126,5223,9.887999999999998,53.451,126,4386.2,9.776399999999999,53.345600000000005,0 
body-parser-old,204,81.702,5,5,69,731,1.98,77.622,126,1052,4.08,79.72,92.4,884.4,NaN,78.83439999999999,19.022092419079453 
body-parser-old,204,81.702,5,5,69,979,1.98,77.739,151,1107,3.96,79.72,105.4,1039.4,NaN,78.55460000000001,33.71409200912876 
body-parser-new,218,79.303,5,5,64,836,1.46,76.04,108,1555,3.26,77.84,76.4,1098.8,NaN,76.4,16.16910634512619 
shortid-new,17,47.463,5,5,6,13,3.28,44.179,6,30,3.28,44.179,6,20,NaN,44.179,0 
shortid-new,17,47.463,5,0,7,15,0,47.463,9,31,0,47.463,8.2,19.4,NaN,47.463,0.7483314773547882 
cheerio-new,650,83.537,5,5,145,4959,4.37,79.028,145,19570,4.51,79.168,145,9927,NaN,79.126,0 
