Package,Time (ms), Alpha, Original Set Size, Reduced Test Size, Original Mutation Score, Mutation Score (OP), Mutation Loss, Set Size Reduction
body-parser-new,0m 2s 206,0,218,151,79.303,79.303,0.000,30.734
body-parser-new,0m 2s 5,0,218,161,79.303,79.303,0.000,26.147
body-parser-new,0m 1s 693,0,218,168,79.303,79.303,0.000,22.936
body-parser-new,0m 2s 368,0,218,182,79.303,79.303,0.000,16.514
body-parser-new,0m 2s 194,5,218,110,79.303,77.840,1.845,49.541
body-parser-new,0m 1s 160,5,218,120,79.303,77.503,2.270,44.954
body-parser-new,0m 1s 848,5,218,61,79.303,76.040,4.115,72.018
body-parser-new,0m 1s 632,10,218,64,79.303,70.191,11.490,70.642
body-parser-new,0m 2s 765,10,218,62,79.303,70.079,11.631,71.560
body-parser-new,0m 2s 164,10,218,63,79.303,71.991,9.220,71.101
debug-new,0m 0s 501,0,4,1,3.505,3.505,0.000,75.000
debug-new,0m 0s 506,5,4,1,3.505,3.505,0.000,75.000
debug-new,0m 0s 491,10,4,1,3.505,3.505,0.000,75.000
uuid-new,0m 2s 961,10,17,9,92.061,92.061,0.000,47.059
uuid-new,0m 2s 880,0,17,9,92.061,92.061,0.000,47.059
uuid-new,0m 2s 939,5,17,9,92.061,92.061,0.000,47.059
uuid-new,0m 3s 42,10,17,9,92.061,92.061,0.000,47.059
async-new,724ms,10,511,58,35.286,28.555,19.076,88.650
async-new,2624ms,5,511,61,35.286,30.329,14.048,88.063
async-new,1588ms,5,511,61,35.286,30.414,13.807,88.063
async-new,2319ms,5,511,61,35.286,30.470,13.648,88.063
async-new,2058ms,5,511,61,35.286,30.358,13.966,88.063
async-new,718ms,10,511,58,35.286,28.555,19.076,88.650
async-new,822ms,10,511,58,35.286,28.555,19.076,88.650
async-new,718ms,10,511,58,35.286,28.555,19.076,88.650
async-new,1218ms,10,511,58,35.286,28.555,19.076,88.650
async-new,4767ms,5,511,61,35.286,30.358,13.966,88.063
express-new,14280ms,5,858,142,63.122,58.458,7.389,83.450
test2,1ms,5,5,3,100.000,100.000,0.000,40.000
test2,0ms,5,5,3,100.000,100.000,0.000,40.000
test2,2ms,5,5,3,100.000,100.000,0.000,40.000
test2,1ms,5,5,3,100.000,100.000,0.000,40.000
test2,1ms,5,5,3,100.000,100.000,0.000,40.000
uuid-new,2109ms,5,17,9,92.061,92.061,0.000,47.059
uuid-new,2140ms,5,17,9,92.061,92.061,0.000,47.059
uuid-new,2164ms,5,17,9,92.061,92.061,0.000,47.059
uuid-new,2151ms,5,17,9,92.061,92.061,0.000,47.059
uuid-new,2169ms,5,17,9,92.061,92.061,0.000,47.059
body-parser-new,1563ms,5,218,158,79.303,77.503,2.270,27.523
body-parser-new,1544ms,5,218,138,79.303,79.303,0.000,36.697
body-parser-new,1086ms,5,218,103,79.303,76.040,4.115,52.752
body-parser-new,1369ms,5,218,71,79.303,75.591,4.681,67.431
body-parser-new,1271ms,5,218,106,79.303,77.503,2.270,51.376
test2,1ms,5,5,3,100.000,100.000,0.000,40.000
test2,1ms,5,5,3,100.000,100.000,0.000,40.000
test2,1ms,5,5,3,100.000,100.000,0.000,40.000
test2,1ms,5,5,3,100.000,100.000,0.000,40.000
test2,1ms,5,5,3,100.000,100.000,0.000,40.000
body-parser-new,1491ms,5,218,94,79.303,77.503,2.270,56.881
body-parser-new,769ms,5,218,68,79.303,76.040,4.115,68.807
body-parser-new,1705ms,5,218,120,79.303,77.840,1.845,44.954
body-parser-new,1523ms,5,218,70,79.303,76.040,4.115,67.890
body-parser-new,2093ms,5,218,123,79.303,79.303,0.000,43.578
uuid-new,2563ms,5,17,9,92.061,92.061,0.000,47.059
uuid-new,2673ms,5,17,9,92.061,92.061,0.000,47.059
uuid-new,2384ms,5,17,9,92.061,92.061,0.000,47.059
uuid-new,2502ms,5,17,9,92.061,92.061,0.000,47.059
uuid-new,2194ms,5,17,9,92.061,92.061,0.000,47.059
test2,1ms,5,5,3,100.000,100.000,0.000,40.000
test2,1ms,5,5,3,100.000,100.000,0.000,40.000
test2,2ms,5,5,3,100.000,100.000,0.000,40.000
test2,1ms,5,5,3,100.000,100.000,0.000,40.000
test2,1ms,5,5,3,100.000,100.000,0.000,40.000
uuid-new,2172ms,5,17,9,92.061,92.061,0.000,47.059
uuid-new,2001ms,5,17,9,92.061,92.061,0.000,47.059
uuid-new,2101ms,5,17,9,92.061,92.061,0.000,47.059
uuid-new,2022ms,5,17,9,92.061,92.061,0.000,47.059
uuid-new,2007ms,5,17,9,92.061,92.061,0.000,47.059
body-parser-new,807ms,5,218,60,79.303,70.191,11.490,72.477
body-parser-new,1541ms,5,218,122,79.303,76.040,4.115,44.037
body-parser-new,1312ms,5,218,134,79.303,76.040,4.115,38.532
body-parser-new,1090ms,5,218,74,79.303,76.040,4.115,66.055
body-parser-new,1114ms,5,218,60,79.303,65.804,17.022,72.477
